"File","Priority","Line","Description","Rule"
"force-app/main/default/flows/Set_User_Reactivation_Date.flow-meta.xml","4","2","Add a description to explain flows","MetadataNoDescriptionFlow"
"force-app/main/default/objects/Test_Run__c/Test_Run__c.object-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
"force-app/main/default/objects/Test_Run__c/fields/After_Delete__c.field-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
"force-app/main/default/objects/Test_Run__c/fields/After_Delete__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/main/default/objects/Test_Run__c/fields/Is_Processed__c.field-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
"force-app/main/default/objects/Test_Run__c/fields/Is_Processed__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/main/default/objects/abc__c.object-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
"force-app/main/default/objects/abc__c.object-meta.xml","2","65","Do not hardcode this URL - use a relative path instead","NoHardcodedWeblinkURLs"
"force-app/main/default/permissionsets/ChangeMe.permissionset-meta.xml","2","2","Add a description to explain custom permission sets","MetadataNoDescriptionPermissionSet"
"force-app/main/default/permissionsets/TR_Admin.permissionset-meta.xml","2","2","Add a description to explain custom permission sets","MetadataNoDescriptionPermissionSet"
"force-app/main/default/permissionsets/TR_Admin.permissionset-meta.xml","2","332","Use sharing rules to grant record access rather than View All or Modify All even on module-specific objects.","ModifyOrViewAllRecordsCustom"
"force-app/main/default/permissionsets/TR_Admin.permissionset-meta.xml","2","341","Use sharing rules to grant record access rather than View All or Modify All even on module-specific objects.","ModifyOrViewAllRecordsCustom"
"force-app/main/default/permissionsets/TR_Admin.permissionset-meta.xml","2","350","Use sharing rules to grant record access rather than View All or Modify All even on module-specific objects.","ModifyOrViewAllRecordsCustom"
"force-app/main/default/permissionsets/TR_Admin.permissionset-meta.xml","2","359","Use sharing rules to grant record access rather than View All or Modify All even on module-specific objects.","ModifyOrViewAllRecordsCustom"
"force-app/main/default/classes/DeleteThisTest.cls","2","11","Apex unit test classes should have at least one System.runAs() call","ApexUnitTestClassShouldHaveRunAs"
"force-app/main/default/classes/DeleteThisTest.cls","5","17","Variable 'cons' defined but not used","UnusedLocalVariable"
"force-app/main/default/permissionsets/TR_Viewer.permissionset-meta.xml","2","275","Use sharing rules to grant record access rather than View All or Modify All even on module-specific objects.","ModifyOrViewAllRecordsCustom"
"force-app/main/default/permissionsets/TR_Viewer.permissionset-meta.xml","2","284","Use sharing rules to grant record access rather than View All or Modify All even on module-specific objects.","ModifyOrViewAllRecordsCustom"
"force-app/main/default/permissionsets/TR_Viewer.permissionset-meta.xml","2","293","Use sharing rules to grant record access rather than View All or Modify All even on module-specific objects.","ModifyOrViewAllRecordsCustom"
"force-app/main/default/permissionsets/TR_Viewer.permissionset-meta.xml","2","302","Use sharing rules to grant record access rather than View All or Modify All even on module-specific objects.","ModifyOrViewAllRecordsCustom"
"force-app/main/default/profiles/Custom.profile-meta.xml","2","3","Use sharing rules to grant record access rather than View All or Modify All even on module-specific objects.","ModifyOrViewAllRecordsCustom"
"force-app/trigger-actions-framework/main/default/classes/FlowChangeEventHeaderTest.cls","2","23","Apex unit test classes should have at least one System.runAs() call","ApexUnitTestClassShouldHaveRunAs"
"force-app/trigger-actions-framework/main/default/classes/FlowChangeEventHeaderTest.cls","2","28","Apex unit test classes should have at least one System.runAs() call","ApexUnitTestClassShouldHaveRunAs"
"force-app/trigger-actions-framework/main/default/classes/FlowChangeEventHeaderTest.cls","2","33","Apex unit test classes should have at least one System.runAs() call","ApexUnitTestClassShouldHaveRunAs"
"force-app/trigger-actions-framework/main/default/classes/TriggerActionFlow.cls","5","250","Missing ApexDoc comment","ApexDoc"
"force-app/trigger-actions-framework/main/default/objects/DML_Finalizer__mdt/DML_Finalizer__mdt.object-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
"force-app/trigger-actions-framework/main/default/objects/DML_Finalizer__mdt/fields/Apex_Class_Name__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/DML_Finalizer__mdt/fields/Bypass_Execution__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/classes/TriggerActionFlowBypassProcessor.cls","5","46","Missing ApexDoc comment","ApexDoc"
"force-app/trigger-actions-framework/main/default/classes/TriggerActionFlowBypassProcessor.cls","5","47","Missing ApexDoc comment","ApexDoc"
"force-app/trigger-actions-framework/main/default/classes/TriggerActionFlowBypassProcessor.cls","5","48","Missing ApexDoc comment","ApexDoc"
"force-app/trigger-actions-framework/main/default/objects/DML_Finalizer__mdt/fields/Bypass_Permission__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/DML_Finalizer__mdt/fields/Order__c.field-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
"force-app/trigger-actions-framework/main/default/objects/DML_Finalizer__mdt/fields/Required_Permission__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/Trigger_Action__mdt.object-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/After_Delete__c.field-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/After_Delete__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/After_Insert__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/After_Undelete__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/After_Update__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Allow_Flow_Recursion__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/classes/TriggerBase.cls","5","223","Missing ApexDoc comment","ApexDoc"
"force-app/trigger-actions-framework/main/default/classes/TriggerBase.cls","5","269","Missing ApexDoc comment","ApexDoc"
"force-app/trigger-actions-framework/main/default/classes/TriggerBase.cls","5","284","Missing ApexDoc comment","ApexDoc"
"force-app/trigger-actions-framework/main/default/classes/TriggerBase.cls","5","295","Missing ApexDoc comment","ApexDoc"
"force-app/trigger-actions-framework/main/default/classes/TriggerBase.cls","5","306","Missing ApexDoc comment","ApexDoc"
"force-app/trigger-actions-framework/main/default/classes/TriggerBase.cls","5","317","Missing ApexDoc comment","ApexDoc"
"force-app/trigger-actions-framework/main/default/classes/TriggerBase.cls","5","399","Variable 'cons' defined but not used","UnusedLocalVariable"
"force-app/trigger-actions-framework/main/default/classes/TriggerBase.cls","3","399","Avoid SOQL queries without a where or limit statement","AvoidNonRestrictiveQueries"
"force-app/trigger-actions-framework/main/default/classes/TriggerBase.cls","3","399","Validate CRUD permission before SOQL/DML operation or enforce user mode","ApexCRUDViolation"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Apex_Class_Name__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Before_Delete__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Before_Insert__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Before_Update__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Bypass_Execution__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Bypass_Permission__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Description__c.field-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Flow_Name__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Order__c.field-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
"force-app/trigger-actions-framework/main/default/objects/Trigger_Action__mdt/fields/Required_Permission__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/classes/tests/TriggerActionFlowChangeEventTest.cls","2","27","Apex unit test classes should have at least one System.runAs() call","ApexUnitTestClassShouldHaveRunAs"
"force-app/trigger-actions-framework/main/default/classes/tests/TriggerActionFlowChangeEventTest.cls","2","38","Apex unit test classes should have at least one System.runAs() call","ApexUnitTestClassShouldHaveRunAs"
"force-app/trigger-actions-framework/main/default/classes/tests/TriggerActionFlowChangeEventTest.cls","2","46","Apex unit test classes should have at least one System.runAs() call","ApexUnitTestClassShouldHaveRunAs"
"force-app/trigger-actions-framework/main/default/objects/sObject_Trigger_Setting__mdt/fields/Bypass_Execution__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/sObject_Trigger_Setting__mdt/fields/Bypass_Permission__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/sObject_Trigger_Setting__mdt/fields/Object_API_Name__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/sObject_Trigger_Setting__mdt/fields/Object_Namespace__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/sObject_Trigger_Setting__mdt/fields/Required_Permission__c.field-meta.xml","5","3","Custom fields should not contain underscores.","NoUnderscoresInFieldNames"
"force-app/trigger-actions-framework/main/default/objects/sObject_Trigger_Setting__mdt/sObject_Trigger_Setting__mdt.object-meta.xml","2","2","Add a description to explain custom metadata","MetadataNoDescriptionObjectField"
